Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
nandœtü	nandt	NANDT	abvd	EAR	abvd_43_ear_21
nao	nao	NAO	abvd	MOUTH	abvd_30_mouth_36
nañɒ̃	naɒ̃	NA	abvd	FOOT OR LEG	abvd_4_legfoot_35
naœ	na	NA	abvd	HEAD	abvd_24_head_15
nda	nda	NDA	abvd	EAT	abvd_37_toeat_39
ndapu	ndapu	NDAPU	abvd	SPLIT	-
ndœtuœ	ndtu	NDTU	abvd	NECK	abvd_25_neck_24
ndœtã	ndt	NDT	abvd	EARTH (SOIL)	abvd_119_earthsoil_33
ndœtü	ndt	NDT	abvd	NAME	abvd_63_name_22
ndœtœ	ndt	NDT	abvd	EARTH (SOIL)	abvd_119_earthsoil_33
ndɒpʷe	ndɒpe	NDPE	abvd	SEA	-
ndʌmbœ nonno	ndʌmbnonno	NDMBNONNO	abvd	ROOT	abvd_115_root_15
neke	neke	NEKE	abvd	WHO	abvd_189_who_31
nelʌ	nelʌ	NEL	abvd	BELLY	abvd_14_belly_33
nenü	nen	NEN	abvd	WIND	abvd_136_wind_16
neyœ	ney	NEU	abvd	BREAST	abvd_18_breast_32
nike	nike	NIKE	abvd	WHAT	abvd_188_what_32
nimbüle	nimble	NIMBLE	abvd	KILL	abvd_74_tokill_44
nimbœ	nimb	NIMB	abvd	BACK	abvd_13_back_9
nimbœtio	nimbtio	NIMBTIO	abvd	SQUEEZE	-
nimu	nimu	NIMU	abvd	YOU	abvd_186_you_24
ninde	ninde	NINDE	abvd	HE OR SHE	abvd_184_heshe_19
nindœ	nind	NIND	abvd	THEY	abvd_187_they_27
nivi	nivi	NIBI	abvd	ROPE	abvd_65_rope_44
niŋe	nie	NIE	abvd	I	-
niŋgi	nigi	NIGI	abvd	WE	abvd_185_we_15
niŋglü	nigl	NIGL	abvd	TAIL	abvd_105_tail_35
niŋgu	nigu	NIGU	abvd	WE	abvd_185_we_15
niŋgœ	nig	NIG	abvd	WE	abvd_185_we_15
no	no	NO	abvd	FISH	abvd_111_fish_55
notü	not	NOT	abvd	NOSE	abvd_27_nose_37
næi	ni	NI	abvd	EGG	abvd_98_egg_21
nüimœ	nim	NIM	abvd	EGG	-
nüŋi	ni	NI	abvd	TOOTH	abvd_31_tooth_1
nüŋindowe	nindowe	NINDOWE	abvd	SNAKE	abvd_106_snake_46
nœa	na	NA	abvd	FRUIT	abvd_117_fruit_1
nœa nɒunɒ	nanɒunɒ	NANUN	abvd	FRUIT	abvd_117_fruit_1
nœla	nla	NLA	abvd	BRANCH	abvd_113_branch_1
nœlɒkæmbü	nlɒkmb	NLKMB	abvd	NIGHT	abvd_167_night_13
nœplœ	npl	NPL	abvd	HAIR	abvd_26_hair_31
nœpü	np	NP	abvd	FLOWER	abvd_116_flower_11
nœvœ	nv	NB	abvd	BONE	abvd_15_bone_24
nœwaŋœ	nwa	NWA	abvd	WORK (ACTIVITY)	abvd_83_towork_48
nœwœnda	nwnda	NWNDA	abvd	FLESH OR MEAT	abvd_103_meatflesh_45
nœŋe	ne	NE	abvd	SPIDER	-
nɒmblo	nɒmblo	NMBLO	abvd	PERSON	abvd_53_personhumanbeing_34
nʌluŋœ	nʌlu	NLU	abvd	BE ALIVE	abvd_76_tolivebealive_35
nʌlvü	nʌlv	NLB	abvd	FIVE	abvd_201_five_1
nʌpnu	nʌpnu	NPNU	abvd	TEN	abvd_206_ten_5
olvʌ	olvʌ	OLB	abvd	FEMALE PERSON	abvd_55_womanfemale_36
pe	pe	PE	abvd	FASTEN	abvd_66_totieupfasten_146
peto	peto	PETO	abvd	FOREST	-
pi	pi	PI	abvd	SAY	abvd_64_tosay_39
platile	platile	PLATILE	abvd	STEAL	abvd_73_tosteal_1
plã	pl	PL	abvd	STEAL	abvd_73_tosteal_1
plæ	pl	PL	abvd	FASTEN	-
pü	p	P	abvd	WARM	abvd_138_warm_30
pümbu	pmbu	PMBU	abvd	SWELL	-
pœki	pki	PKI	abvd	WHITE	abvd_148_white_46
pœla	pla	PLA	abvd	SEA	abvd_124_sea_36
pɒ	pɒ	P	abvd	RED	abvd_149_red_1
pʷæ	p	P	abvd	FOUR	abvd_200_four_9
sate	sate	SATE	abvd	LIVER	abvd_17_liver_1
siu esʌ̃	siuesʌ̃	SIUES	abvd	THOUSAND	-
ta	ta	TA	abvd	FALL	abvd_95_tofall_53
tambœ	tamb	TAMB	abvd	HIT	abvd_72_tohit_53
tambɒ	tambɒ	TAMB	abvd	HUNT	abvd_69_tohunt_35
taomo	taomo	TAOMO	abvd	FALL	abvd_95_tofall_45
taomɒ	taomɒ	TAOM	abvd	FALL	abvd_95_tofall_45
temʌ	temʌ	TEM	abvd	MOON	abvd_129_moon_22
tewa	tewa	TEWA	abvd	RAIN (PRECIPITATION)	abvd_133_rain_20
topuʌ	topuʌ	TOPU	abvd	SMALL	abvd_152_small_17
toto	toto	TOTO	abvd	FAT (ORGANIC SUBSTANCE)	-
tu	tu	TU	abvd	STAND	abvd_52_tostand_2
tulʌ	tulʌ	TUL	abvd	STAND	abvd_52_tostand_2
tövisiki	tvisiki	TBISIKI	abvd	HUNDRED	abvd_209_onehundred_14
tü	t	T	abvd	THREE	abvd_199_three_1
tœka	tka	TKA	abvd	BAD OR EVIL	abvd_165_badevil_12
tœkutu	tkutu	TKUTU	abvd	LOUSE	abvd_108_louse_13
tœmona	tmona	TMONA	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_1
tœte	tte	TTE	abvd	FATHER	abvd_60_father_15
tœtiŋœ	tti	TTI	abvd	NO OR NOT	-
tɒŋi	tɒi	TI	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_72
tʌ	tʌ	T	abvd	HIT	abvd_72_tohit_52
tʌesʌ̃	tʌesʌ̃	TES	abvd	ONE	abvd_197_one_41
tʌpœ	tʌp	TP	abvd	LIVER	abvd_17_liver_19
utɒ	utɒ	UT	abvd	BIRD	-
vaolæpæ	vaolp	BAOLP	abvd	SWELL	-
velvel	velvel	BELBEL	abvd	THICK	-
vœi	vi	BI	abvd	STAR	abvd_130_star_21
vəmɒ	vəmɒ	BEM	abvd	COME	abvd_7_tocome_26
vʌmo	vʌmo	BMO	abvd	COME	abvd_7_tocome_26
vʌŋale	vʌale	BALE	abvd	WALK	abvd_5_towalk_41
vʌŋalœ	vʌal	BAL	abvd	WALK	abvd_5_towalk_41
wæmbu	wmbu	WMBU	abvd	SIT	abvd_51_tosit_82
wü	w	W	abvd	BLOW (OF WIND)	abvd_137_toblow_4
wœ	w	W	abvd	SWIM	abvd_9_toswim_25
wəŋœ	wə	WE	abvd	WORK (ACTIVITY)	abvd_83_towork_48
wʌpæ	wʌp	WP	abvd	BIG	-
yaŋgʷæpeæ	yagpe	UAGPE	abvd	PAINFUL OR SICK	abvd_160_painfulsick_15
yü	y	U	abvd	SUCK	-
yœmbü	ymb	UMB	abvd	LIE DOWN	-
yœni	yni	UNI	abvd	CRY	abvd_34_tocry_1
yœpale	ypale	UPALE	abvd	LAUGH	abvd_33_tolaugh_36
yœɒmbulʌ	yɒmbulʌ	UMBUL	abvd	SUCK	abvd_42_tosuck_26
yɒmini	yɒmini	UMINI	abvd	BREATHE	abvd_28_tobreathe_38
yɒmnæ	yɒmn	UMN	abvd	SAY	-
yʌlum	yʌlum	ULUM	abvd	COME	-
ælœ	l	L	abvd	HEAR	abvd_44_tohear_32
æpulvʌ	pulvʌ	PULB	abvd	BLOW (OF WIND)	-
æsikapu	sikapu	SIKAPU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_29
ŋalœ ne nü	alnen	ALNEN	abvd	CLOUD	abvd_131_cloud_40
ŋapi	api	API	abvd	STAB	-
ŋglœ	gl	GL	abvd	DRY	abvd_140_dry_36
ŋümba	mba	MBA	abvd	VOMIT	abvd_35_tovomit_16
ŋɒ	ɒ		abvd	BURN	-
œkü	k	K	abvd	DIG	abvd_90_todig_35
œlimʌ	limʌ	LIM	abvd	SEVEN	abvd_203_seven_8
œlvæsilvʌ	lvsilvʌ	LBSILB	abvd	SEW	abvd_67_tosew_11
œlœu	lu	LU	abvd	FAR	abvd_180_far_15
œmnü	mn	MN	abvd	DRINK	abvd_40_todrink_1
œpe	pe	PE	abvd	FASTEN	-
œpla	pla	PLA	abvd	CUT OR HACK	abvd_78_tocuthack_57
œpʷæmʌ	pmʌ	PM	abvd	NINE	abvd_205_nine_19
œtümʌ	tmʌ	TM	abvd	EIGHT	abvd_204_eight_8
ʌ	ʌ		abvd	WALK	-
ʌkamœmbœ	ʌkammb	KAMMB	abvd	FOG	abvd_132_fog_24
ʌkapu	ʌkapu	KAPU	abvd	DUST	-
ʌmbü	ʌmb	MB	abvd	DAY (NOT NIGHT)	abvd_168_day_21
ʌplʌ	ʌplʌ	PL	abvd	STONE	abvd_120_stone_1
ʌpʷæ	ʌp	P	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_26
